line_id,name,code,colour,operator,network,mode
Line:relation:8086899,Bus 30-21 Ouest : Gare de Cormeilles en Parisis (circulaire),30-21Oues,,Cars Lacroix,Val Parisis,bus
Line:relation:8089113,AnjouBus 11: Angers – Miré,AnjouBus 11,#fab39b,,AnjouBus,bus
Line:relation:8092257,Bus 35 : Gare de Marne-La-Vallée Chessy ↔ Gare de Marne-La-Vallée Chessy,35,,Transdev AMV,Pep's,bus
Line:relation:8103878,AnjouBus 12: Angers – Juvardeil,AnjouBus 12,#1d6081,,AnjouBus,bus
Line:relation:8106274,Bus 20 : Villiers-le-Bel RER ↔ Parc des Expositions,20,,Trans Val d'Oise,TransVO,bus
Line:relation:8108526,Bus 14 : Île de Loisirs de Jablines ↔ Gare d’Esbly,14,,Transdev Marne et Morin,Pep's,bus
Line:relation:8109456,Bus 08 : Poissy - Gare SNCF RER A (circulaire via Chambourcy - Collège),08,,Transdev Île-de-France Montesson Les Rabaux,Transdev Île-de-France Montesson Les Rabaux,bus
Line:relation:8111778,Angers – Bois d'Anjou,14,#ee1c25,,AnjouBus,bus
Line:relation:8112663,Bus 317 : Estouches ↔ Étampes HLM Bas,317,,CEA Transports,Étampois,bus
Line:relation:8112875,Bus 318 : Estouches ↔ Etampes HLM Bas,318,,CEA Transports,Étampois,bus
Line:relation:8116384,Bus Express A14 (1) : La Défense ↔ Mantes-la-Jolie,1,,CTCOP,Express A14,bus
Line:relation:8116966,790: Nice - Entraunes,790,red,,Zou !,bus
Line:relation:8119503,Les Abeilles,,,,Les Abeilles,bus
Line:relation:8123430,Citeis 15,C15,#00a4b2,SAEML TAMM,Le Met',bus
Line:relation:8130193,Bus 03 : Gare de Dourdan ↔ Zone Industrielle,03,,Transdev Île-de-France Rambouillet,Réseau Interurbain de Rambouillet,bus
Line:relation:8130220,Bus 29 : Gare de Dourdan ↔ Moutiers,29,,Transdev Île-de-France Rambouillet,Réseau Interurbain de Rambouillet,bus
Line:relation:8131176,Bus A : Satory ↔ Hôpital André Mignot,A,,Keolis Versailles,Phébus,bus
Line:relation:8132411,Bus 16 : Conflans Fin d'Oise (circulaire via Andrésy - Les Charvaux),16,,CSO,CSO,bus
Line:relation:8132454,Bus 14 : Ermont Eaubonne Gare RER ↔ Enghien Albert 1er Gare,14,#008000,TVO,Valmy,bus
Line:relation:8132466,Bus 30-14 : Franconville Gare ↔ Saint-Leu la Forêt Gare,30-14,,Cars Lacroix,Parisis,bus
Line:relation:8132489,Bus 38-01 : Ermont Eaubonne Gare RER ↔ Montlignon Mairie,38-01,#008000,Transdev Cars Rose,Valbus,bus
Line:relation:8132503,Bus 38-05 : Domont Gare ↔ Hopital Simone Veil,38-05,,Transdev Cars Rose,Valbus,bus
Line:relation:8132510,Bus 38-04 : Ermont Eaubonne Gare RER ↔ Rue de Saint-Prix,38-04,,Transdev Cars Rose,Valbus,bus
Line:relation:8132557,Bus 306.12 : Dourdan ↔ Monnerville,306.12,,Ormont Transport,Ormont Transport,bus
Line:relation:8133704,AnjouBus 16: Saumur – Noyant,AnjouBus 16,#00aaa8,,AnjouBus,bus
